,husage,husunion,husearns,huseduc,husblck,hushisp,hushrs,kidge6,earns,age,black,educ,hispanic,union,faminc,husexp,exper,kidlt6,hours,nwifeinc,inlf,hrwage
2,56,0.0,1500,14,0,0,40,1,100.0,49,0,12,0,0.0,55000,36,31,0,15,49.8,1,6.6666669999999995
12,31,0.0,800,17,0,0,40,0,480.0,29,0,14,0,0.0,55000,8,9,0,40,30.04,1,12.0
19,33,0.0,950,13,0,0,60,0,455.0,30,0,12,0,0.0,32500,14,12,1,40,8.84,1,11.375
20,34,0.0,1000,14,0,0,50,1,102.0,31,0,12,0,0.0,55000,14,13,0,20,49.696000000000005,1,5.1
21,42,0.0,730,14,0,0,40,1,300.0,41,0,12,0,0.0,32500,22,23,0,30,16.9,1,10.0
24,45,0.0,1154,16,0,0,38,1,425.0,45,0,18,0,0.0,67500,23,21,0,35,45.4,1,12.14286
25,33,0.0,1350,16,0,0,40,0,770.0,32,0,12,0,0.0,112500,11,14,0,40,72.46,1,19.25
26,31,0.0,769,18,0,0,55,0,125.0,27,0,14,0,0.0,45000,7,7,1,21,38.5,1,5.952381
28,31,0.0,340,12,0,0,40,0,245.0,30,0,15,0,0.0,32500,13,9,1,35,19.76,1,7.0
30,44,0.0,750,12,0,0,40,1,539.0,42,0,12,0,0.0,55000,26,24,0,40,26.971999999999998,1,13.475
32,45,0.0,1200,12,0,0,50,0,300.0,42,0,12,0,0.0,112500,27,24,0,40,96.9,1,7.5
33,22,0.0,249,12,0,0,40,0,299.0,23,0,13,0,0.0,27500,4,4,0,40,11.952,1,7.475
34,66,0.0,500,16,0,0,40,0,500.0,55,0,12,0,0.0,67500,44,37,0,40,41.5,1,12.5
41,43,0.0,400,12,0,0,50,1,260.0,31,0,12,0,0.0,45000,25,13,0,40,31.48,1,6.5
42,26,0.0,520,14,0,0,36,0,345.0,27,0,14,0,0.0,45000,6,7,0,40,27.06,1,8.625
43,37,1.0,500,12,0,0,50,0,213.0,30,0,12,0,0.0,32500,19,12,1,15,21.424,1,14.2
44,51,0.0,500,12,0,0,40,0,320.0,49,0,12,0,0.0,67500,33,31,0,60,50.86,1,5.3333330000000005
47,38,0.0,1500,16,0,0,40,0,550.0,38,0,16,0,0.0,67500,16,16,1,40,38.9,1,13.75
50,37,0.0,465,12,0,0,50,0,687.0,32,0,17,0,1.0,45000,19,9,1,40,9.276,1,17.175
52,54,0.0,300,18,0,0,60,0,400.0,52,0,18,0,1.0,112500,30,28,0,50,91.7,1,8.0
55,29,0.0,600,16,0,0,50,0,460.0,27,0,14,0,0.0,55000,7,7,1,40,31.08,1,11.5
56,35,0.0,600,16,0,0,42,0,600.0,31,0,12,0,0.0,55000,13,13,0,40,23.8,1,15.0
58,38,0.0,240,18,0,0,48,1,400.0,36,0,16,0,0.0,32500,14,14,0,40,11.7,1,10.0
